Model,Accuracy,Precision,Recall,F1-Score
gemma_4_e4b,0.6,0.5,0.5,0.5
gemma_4_e2b,0.25,0.1818181818181818,0.25,0.2105263157894736
gemma_3_4b,0.5,0.4,0.5,0.4444444444444444
deepseek_r1_1_5b,0.34,0.3571428571428571,0.4,0.3773584905660377
qwen_3_8b,0.5,0.4,0.5,0.4444444444444444
stablelm2_1_6b,0.46,0.45,0.36,0.4
smollm3_3b,0.45,0.3333333333333333,0.375,0.3529411764705882
granite_3_0_8b,0.42,0.4230769230769231,0.44,0.4313725490196078
gemma_2_9b,0.5,0.4,0.5,0.4444444444444444
yi_1_5_9b,0.5,0.4,0.5,0.4444444444444444
