Model,Accuracy,Precision,Recall,F1-Score
gemma_4_e4b,0.4,0.375,0.75,0.5
qwen_3_8b,0.7,0.6666666666666666,0.5,0.5714285714285714
gemma_4_e2b,0.85,0.7777777777777778,0.875,0.8235294117647058
gemma_3_4b,0.5,0.4375,0.875,0.5833333333333334
deepseek_r1_1_5b,0.66,0.7,0.56,0.6222222222222222
gemma_2_9b,0.8,0.75,0.75,0.75
stablelm2_1_6b,0.6,0.5925925925925926,0.64,0.6153846153846154
smollm3_3b,0.7,0.75,0.375,0.5
granite_3_0_8b,0.64,0.8181818181818182,0.36,0.5
yi_1_5_9b,0.6,0.5,1.0,0.6666666666666666
stablelm2_12b,0.5,0.4,0.5,0.4444444444444444
mistral_7b,0.8,0.75,0.75,0.75
