Model,Accuracy,Precision,Recall,F1-Score
gemma_4_e4b,0.8,0.75,0.75,0.75
qwen_3_8b,0.8,1.0,0.5,0.6666666666666666
gemma_4_e2b,0.9,0.875,0.875,0.875
gemma_3_4b,0.4,0.4,1.0,0.5714285714285714
deepseek_r1_1_5b,0.52,0.5185185185185185,0.56,0.5384615384615384
gemma_2_9b,0.3,0.3333333333333333,0.75,0.4615384615384615
stablelm2_1_6b,0.44,0.4545454545454545,0.6,0.5172413793103449
smollm3_3b,0.65,0.5555555555555556,0.625,0.5882352941176471
granite_3_0_8b,0.66,0.6052631578947368,0.92,0.7301587301587301
yi_1_5_9b,0.4,0.4,1.0,0.5714285714285714
stablelm2_12b,0.6,0.5,0.25,0.3333333333333333
