Model,Accuracy,Precision,Recall,F1-Score
gemma_4_e4b,0.6,0.5,1.0,0.6666666666666666
gemma_4_e2b,0.5,0.4375,0.875,0.5833333333333334
gemma_3_4b,0.65,0.6666666666666666,0.25,0.3636363636363636
deepseek_r1_1_5b,0.62,0.7142857142857143,0.4,0.5128205128205128
qwen_3_8b,0.7,0.6666666666666666,0.5,0.5714285714285714
stablelm2_1_6b,0.5,0.5,0.04,0.074074074074074
smollm3_3b,0.75,0.7142857142857143,0.625,0.6666666666666666
granite_3_0_8b,0.4,0.2727272727272727,0.12,0.1666666666666666
gemma_2_9b,0.7,1.0,0.25,0.4
yi_1_5_9b,0.7,0.5714285714285714,1.0,0.7272727272727273
stablelm2_12b,0.4,0.4,1.0,0.5714285714285714
